keys,en,es,pl,de,ru,uk,zh_CN,zh_TW
CREDITS_TEAM,"[b]Team:[/b]
  [color=black]David Snopek[/color] from [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Programming and Design[/color]
  [color=black]Ross Klettke[/color] from [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]Additional Art Styles[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):          [color=black]Spanish Translation[/color]

[b]Free assets:[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] by [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram font[/url][/color] by [color=black]datagoblin[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: The Ultimate 2017 16 bit Mini pack[/url][/color] by [color=black]phoenix1291[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop heavy vehicle/tank[/url][/color] by [color=black]Nayckron[/color]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Interface Sounds[/url][/color] by [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chiptuned Rock Tune[/url][/color] by [color=black]Bertsz[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color] by [color=black]Juhani Junkala[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color] by [color=black]SwornDevelopment[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Goal Horn Sound Effect[/url][/color] by [color=black]Alexander[/color]","[b]Equipo:[/b]
  [color=black]David Snopek[/color] de [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Programación y diseño[/color] 
  [color=black]Ross Klettke[/color] de [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]Estilos de arte adicionales[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):        [color=black]Traducción al español[/color]

[b]Materiales gratuitos:[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] por [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram font[/url][/color] de [color=black]datagoblin[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: The Ultimate 2017 16 bit Mini pack[/url][/color] de [color=black]phoenix1291[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Vehículo/tanque pesado con motor[/url][/color] de [color=black]Nayckron[/color] 
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Sonidos de la interfaz[/url][/color] de [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chiptuned Rock Tune[/url][/color] de [color=black]Bertsz[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color] de [color=black]Juhani Junkala[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color] por [color=black]SwornDevelopment[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Efecto de sonido del cuerno de la portería[/url][/color] by [color=black]Alexander[/color]",,"[b]Team:[/b]
 [color=black]David Snopek[/color] von [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Programmierung und Design[/color]
 [color=black]Ross Klettke[/color] von [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]Zusätzliche Kunststile[/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):         [color=black]Übersetzung ins Spanische[/color]

[b]Kostenlose Assets:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] von [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram-Schriftart[/url][/color] von [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: Das ultimative 16-Bit-Mini-Pack 2017[/url][/color] von [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Motorschleife Schwerfahrzeug/Panzer[/url][/color] von [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Interface-Sounds[/url][/color] von [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Chipgetunte Rock-Melodie[/url][/color] von [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action-Chiptunes[/url][/color] von [color=black]Juhani Junkala[/color]
 [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot Video[/url][/color] von [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Torhorn-Soundeffekt[/url][/color] von [color=black]Alexander[/color]","[b]Команда:[/b]
 [color=black]Дэвид Снопек[/color] из [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]программирование и дизайн [/color]
 [color=black]Росс Клеттке[/color] из [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]:   [color=black]дополнительные художественные стили [/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]):        [color=black]перевод на испанский [/color]

[b]Бесплатные активы:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Top-down Tanks Redux[/url][/color] от [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Шрифт Monogram[/url][/color] от [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]16-битный мини-пакет SFX: The Ultimate 2017[/url][/color] от [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop heavy vehicle/tank[/url][/color] от [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Звуки для интерфейса[/url][/color] от [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Мелодия Chiptuned Rock Tune[/url][/color] от [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]Мелодии 5 Action Chiptunes[/url][/color] от [color=black]Юхани Джункала[/color]
 [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Видео Godot Splash Boot[/url][/color] от [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Звуковой эффект Goal Horn[/url][/color] от [color=black]Александра[/color]","[b]Колектив:[/b]
 [color=black]Девід Снопек[/color] з компанії [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]Програмування та дизайн[/color]
 [color=black]Рос Клетке[/color] з компанії [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]: [color=black]Додаткові художні стилі[/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]): [color=black]Іспанський переклад[/color]

[b]Вільні активи:[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]Танки Redux з видом зверху[/url][/color] від [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Шрифт монограми[/url][/color] від [color=black]datagoblin[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX: Максимальний 16-бітний міні-пакет 2017 року[/url][/color] від [color=black]phoenix1291[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Важкий автомобіль/танк з циклічним двигуна[/url][/color] від [color=black]Nayckron[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]Звуки інтерфейсу[/url][/color] від [color=black]Kenney.nl[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]Чип-тюнінгова рок-мелодія[/url][/color] від [color=black]Bertsz[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 бойових чиптюнів[/url][/color] від [color=black]Джухані Джункала[/color]
 [color=#1ea7e1][url=https://oatorndevelopment.itch.io/godot-splash-boot-video] Відео заставки Godot[/url][/color] від [color=black]SwornDevelopment[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]Звуковий ефект сигналу голу[/url][/color] від [color=black]Александера[/color]","[b]团队：[/b]
 [color=black]David Snopek[/color] 来自 [color=#1ea7e1][url=https://www.snopekgames.com]Snopek游戏公司[/url][/color]：[color=black]编程和设计[/color]
 [color=black]Ross Klettke[/color] 来自 [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]：[color=black]其他艺术风格[/color]
 [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]推特[/url][/color])：[color=black]西班牙语翻译[/color]

[b]免费资产：[/b]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]自上而下的坦克Redux[/url][/color] 由 [color=black]Kenney.nl创作[/color]
 [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]会标字体[/url][/color] 由 [color=black]datagoblin创作[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]SFX：终极 2017 16 位迷你包[/url][/颜色] 由 [color=black]phoenix1291创作[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]Engine-loop重型车辆/坦克[/url][/color] 由 [color=black]奈克伦创作[/color]
 [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]界面声音[/url][/color] 由[color=black]Kenney.nl创作[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]芯片摇滚乐[/url][/color] 由 [color=black]Bertsz创作[/color]
 [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5首动感芯片乐[/url][/color] 由 [color=black]尤哈尼·容卡拉创作[/color]
 [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot 启动视频[/url][/color] 由 [color=black]SwornDevelopment创作[/color]
 [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]得分喇叭音效[/url][/color] 由 [color=black]亚历山大创作[/color]","[b]團隊:[/b]
  [color=black]David Snopek[/color] 來自 [color=#1ea7e1][url=https://www.snopekgames.com]Snopek Games[/url][/color]: [color=black]計畫和設計[/color]
  [color=black]Ross Klettke[/color] 來自 [color=#1ea7e1][url=https://www.whatnotory.com/]Whatnotory[/url][/color]: [color=black] 添加的藝術風格[/color]
  [color=black]Theanyelpes[/color] ([color=#1ea7e1][url=https://twitter.com/Theanyelpes]Twitter[/url][/color]): [color=black] 西班牙文翻譯[/color]

[b]免費資產:[/b]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/topdown-tanks-redux]從總體到細節的坦克 Redux[/url][/color] 藉由 [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://datagoblin.itch.io/monogram]Monogram font[/url][/color] 藉由 [color=black]datagoblin[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/sfx-the-ultimate-2017-16-bit-mini-pack]The Ultimate 2017 16 bit Mini pack[/url][/color] 藉由 [color=black]phoenix1291[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/engine-loop-heavy-vehicletank]循環發動機重型車輛/坦克[/url][/color] 藉由 [color=black]Nayckron[/color]
  [color=#1ea7e1][url=https://www.kenney.nl/assets/interface-sounds/]介面聲音[/url][/color] 藉由 [color=black]Kenney.nl[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/ciptuned-rock-tune]晶片音樂搖滾曲調[/url][/color] 藉由 [color=black]Bertsz[/color]
  [color=#1ea7e1][url=https://opengameart.org/content/5-chiptunes-action]5 Action Chiptunes[/url][/color] 藉由 [color=black]Juhani Junkala[/color]
  [color=#1ea7e1][url=https://sworndevelopment.itch.io/godot-splash-boot-video]Godot Splash Boot 影片[/url][/color] 藉由 [color=black]SwornDevelopment[/color]
  [color=#1ea7e1][url=https://orangefreesounds.com/goal-horn-sound-effect/]球門喇叭聲效果[/url][/color] 藉由 [color=black]Alexander[/color]"
CHECKBOX_SAVE_CREDS,Save e-mail and password,Guardar e-mail y contraseña,,E-Mail-Adresse und Passwort speichern,Сохранить эл. почту и пароль,Зберегти адресу електронної пошти та пароль,保存邮箱地址及密码,儲存電子信箱和密碼
CONTROL_SCHEME_OPTION_MODERN,Modern,Moderno,,Modern,Современная,Сучасна,现代,現代
CONTROL_SCHEME_OPTION_RETRO,Retro,Retro,,Retro,Ретро,Ретро,复古,復古
DEBUG_TITLE,Debug,Depuración,,Debug,Отладка,Налагодження,调试,排除故障
EMAIL_FIELD_LABEL,E-mail:,E-mail:,,E-Mail-Adresse:,Эл. почта:,Електронна пошта:,电子邮箱：,電子信箱：
GAME_ERROR_UNABLE_TO_LOAD_MAP,Unable to load map,Imposible cargar el mapa,,Karte kann nicht geladen werden,Не удалось загрузить карту,Не вдається завантажити карту,无法加载地图,無法載入地圖
GAMEPAD_DEVICE_OPTION_DEFAULT,Default,Por defecto,,Standard,По умолчанию,За умовчанням,默认,預設值
HEALTH_FIELD_LABEL,Health,Salud,,Gesundheit,Здоровье,Здоров’я,健康,生命值
INVINCIBLE_FIELD_LABEL,Invincible,Invencibilidad,,Unbesiegbar,Непобедимый,Непереможний,无敌,無敵
LANGUAGE_OPTION_DEFAULT,Default,Por defecto,,Standard,По умолчанию,За умовчанням,默认,預設值
LANGUAGE_OPTION_ENGLISH,English,Inglés,,Englisch,Английский,Англійська,英语,英文
LANGUAGE_OPTION_SPANISH,Spanish,Español,,Spanisch,Испанский,Іспанська,西班牙语,西班牙
MAP_NAME_BATTLEFIELD,Battlefield,Campo de batalla,,Schlachtfeld,Поле битвы,Поле бою,战场,戰場
MAP_NAME_DESERT,Desert,Desierto,,Wüste,Пустыня,Пустеля,沙漠,沙漠
MAP_NAME_FOOTBALL,Football,Fútbol,,Fußball,Футбол,Футбол,足球,橄欖球
MAP_NAME_MAZE,Maze,Laberinto,,Labyrinth,Лабиринт,Лабіринт,迷宫,迷宮
MAP_TITLE,Map,Mapa,,Karte,Карта,Карта,地图,地圖
MATCH_ID_FIELD_LABEL,Match ID:,Match ID:,,Match-ID:,ID матча:,Ідентифікатор матчу:,比赛编号：,對戰 ID
MATCH_OPTION_CREATE,Create a private match,Crear una partida privada,,Privates Match erstellen,Создать закрытый матч,Створення приватного матчу,创建一场私人比赛,建立私人對戰
MATCH_OPTION_CREATE_DESCRIPTION,Get a private match ID and send it to your friends.,Obtener un match ID privado y enviarlo a tus amigos,,Erhalte eine private Match-ID und schicke sie an deine Freunde.,Получи ID закрытого матча и отправь его своим друзьям.,Отримай ідентифікатор приватного матчу та надішли його своїм друзям.,获取一个私人比赛编号并发送给您的朋友们。,取得私人對戰ID，並傳送給你的朋友。
MATCH_OPTION_JOIN,Join a private match,Unirse a una partida privada,,Privatem Match beitreten,Вступить в закрытый матч,Приєднайся до приватного матчу,加入私人比赛,參加私人對戰
MATCH_OPTION_JOIN_DESCRIPTION,Paste the private match ID that your friend sent you.,Pegar el match ID privado que tus amigos te enviaron.,,"Füge die private Match-ID ein, die dir dein Freund geschickt hat.","Вставь ID закрытого матча, который тебе прислал друг.","Встав ідентифікатор приватного матчу, який надіслав тобі твій друг.",粘贴您朋友发送给您的私人比赛编号,貼上你的朋友傳給你的私人對戰ID。
MATCH_OPTION_MATCHMAKER,Find a public match,Encontrar una partida pública,,Öffentliches Match finden,Найти открытый матч,Знайди загальнодоступний матч,查找公开比赛,搜尋公開對戰
MATCH_OPTION_MATCHMAKER_DESCRIPTION,"There is matchmaking, but this is a tiny indie game. Don't expect to find randos to battle! It's super cheap - buy a couple copies for your friends!","Hay emparejamiento, pero se trata de un pequeño juego indie. No esperes encontrar a alguien con quien luchar. Es súper barato: ¡compra un par de copias para tus amigos!",,"Es gibt zwar Matchmaking, aber das hier ist ein kleines Indie-Spiel. Erwarte nicht, zufällige Mitspieler zu finden! Das Spiel ist supergünstig – verschenke es an deine Freunde!","Функция подбора матчей существует, но это крошечная инди-игра. Не ожидай найти тут случайных людей, с которыми будешь сражаться! Игра очень дешевая — купи пару копий своим друзьям!","Є матчмейкінг, але це крихітна інді-гра. Не чекай, що знайдеш рандомів для битви! Це супердешево: купи пару копій для своїх друзів!",配对成功，但这仅仅是一个小的独立游戏。别指望能和随机对手去战斗！它超级便宜-给您的朋友们买几套吧！,有配對，但這是一小型獨立製作的遊戲。別期待會有陌生人來戰鬥！這個超便宜 - 買一些給你的朋友吧！
MATCHMAKER_2_PLAYERS,2 players,2 jugadores,,2 Spieler,2 игрока,2 гравця,2位玩家,雙人
MATCHMAKER_3_PLAYERS,3 players,3 jugadores,,3 Spieler,3 игрока,3 гравця,3位玩家,三人
MATCHMAKER_4_PLAYERS,4 players,4 jugadores,,4 Spieler,4 игрока,4 гравця,4位玩家,四人
MATCHMAKER_PLAYERS_FIELD_LABEL,Find at least:,Encontrar,,Finde mindestens:,Найти хотя бы:,Знайди хоча б:,至少找到：,至少找到：
MENU_BATTLE,Battle!,¡Batalla!,,Kampf!,Сражаться!,Битву!,开战！,戰鬥！
MENU_CREDITS,Credits,Créditos,,Credits,Авторы,Автори,点数,製作功勞名單
MENU_EXIT,Exit,Salir,,Beenden,Выход,Вийти,退出,離開
MENU_PRACTICE,Practice,Práctica,,Übung,Тренироваться,Практика,练习,練習
MENU_SETTINGS,Settings,Ajustes,,Einstellungen,Настройки,Налаштування,设置,設定
MESSAGE_CREATE_ACCOUNT_FAILED,Unable to create account,Imposible crear una cuenta,,Konto kann nicht erstellt werden,Не удалось создать аккаунт,Не вдається створити акаунт,创建账户失败,無法建立帳號
MESSAGE_CREATING_ACCOUNT,Creating account...,Creando cuenta...,,Konto erstellen …,Создание аккаунта…,Створення акаунту...,创建账户......,正在建立帳號…
MESSAGE_EMAIL_REQUIRED,Must provide email,Debes proporcionar un e-mail,,E-Mail-Adresse erforderlich,Необходимо указать эл. почту,Необхідно надати адресу електронної пошти,必须提供电子邮箱,必須提供電子信箱
MESSAGE_EMAIL_TAKEN,E-mail already in use,E-mail ya en uso,,E-Mail-Adresse wird bereits verwendet,Эта эл. почта уже занята,Адреса електронної пошти вже використовується,该电子邮箱已注册,電子信箱已被使用
MESSAGE_INSTANT_DEATH,INSTANT DEATH!,¡MUERTA INSTANTÁNEA!,,SOFORTIGER TOD!,МГНОВЕННАЯ СМЕРТЬ!,МИТТЄВА СМЕРТЬ!,突然死亡！,驟死！
MESSAGE_LOGGING_IN,Logging in...,Accediendo,,Anmelden …,Вход в систему…,Вхід в систему...,读取中,正在登入中 …
MESSAGE_LOGIN_FAILED,Login failed!,¡Acceso fallido!,,Anmeldung fehlgeschlagen!,Не удалось войти!,Вхід не вдався!,读取失败！,登入失敗！
MESSAGE_LOGIN_FAILED_STEAM,Unable to connect to Steam. Please try again later.,"Imposible conectar a Steam. Por favor, inténtalo de nuevo más tarde.",,Verbindung zu Steam nicht möglich. Bitte versuche es später erneut.,"Не удается подключиться к Steam. Пожалуйста, попробуй позже.","Не вдається підключитися до Steam. Будь ласка, спробуй пізніше.",无法连接到Steam。请稍后再试。,無法連接到Stream。請稍後再試。
MESSAGE_LOOKING_FOR_MATCH,Looking for match...,Buscando una partida...,,Suchen nach Match …,Поиск матча…,Пошук матчу...,查找配对中......,尋找對戰…
MESSAGE_MATCH_ID_REQUIRED,Need to paste Match ID to join,Se necesita pegar el Match ID para unirse,,"Du musst die Match-ID einfügen, um beizutreten","Чтобы присоединиться, нужно вставить ID матча",Потрібно вставити ідентифікатор матчу для приєднання,需要粘贴比赛编号以加入,需要貼上對戰ID來參加
MESSAGE_NETWORK_ISSUES,"If you're having issues, try different ""Network Relay"" settings before starting a match.","Si tienes problemas, prueba diferentes configuraciones de ""Relé de red"" antes de empezar una partida.",,"Wenn du Probleme hast, probiere verschiedene „Netzwerk-Relais“-Einstellungen aus, bevor du ein Match beginnst.","Если у тебя возникли проблемы, попробуй установить другие варианты «Сетевой ретрансляции» перед началом матча.","Якщо у тебе виникли проблеми, спробуй інші налаштування ""мережеве реле"", перш ніж починати матч.",如果您遇到问题，请在开始比赛前尝试不同的“网络中继”设置。,如果你遇到困難，請在開始對戰以前，先嘗試「網路中繼」設定。
MESSAGE_NO_USER_ACCOUNT,No user account found,No se encontró la cuenta de usuario,,Kein Benutzerkonto gefunden,Аккаунт пользователя не найден,Акаунт користувача не знайдено,未找到该账户,找不到使用者帳號
MESSAGE_PASSWORD_REQUIRED,Must provide password,Debes proveer una contraseña,,Passwort erforderlich,Необходимо указать пароль,Необхідно надати пароль,必须填写密码,必須提供密碼
MESSAGE_PASSWORD_RESET_FAILED,Unable to send password reset email! Try again later.,No se ha podido enviar el correo electrónico de restablecimiento de la contraseña. Vuelve a intentarlo más tarde.,,E-Mail zum Zurücksetzen des Passworts kann nicht gesendet werden! Versuche es später erneut.,Не удалось отправить письмо для сброса пароля! Попробуй позже.,Не вдається надіслати електронний лист для скидання пароля! Повтори спробу пізніше.,发送重置密码邮件失败！请稍后再试。,無法傳送密碼重設電子郵件！請稍後再試。
MESSAGE_PASSWORD_RESET_SENDING,Sending password reset e-mail...,Mandando el restablecimiento de la contraseña al e-mail...,,E-Mail zum Zurücksetzen des Passworts senden …,Отправка письма для сброса пароля…,Надсилання електронного листа для скидання пароля...,重置密码邮件发送中......,正在傳送密碼重設電子郵件…
MESSAGE_PASSWORD_RESET_SENT,Password reset email sent!,¡Email de restablecimiento de la contraseña enviado!,,E-Mail zum Zurücksetzen des Passworts gesendet!,Письмо для сброса пароля отправлено!,Електронного листа для скидання пароля надіслано!,重置密码邮件已发送！,密碼重設電子郵件已傳送！
MESSAGE_PLAYER_DEAD,Wasted!,¡Muerto!,,Besiegt!,Тебя убили!,Втрата!,被干掉了！,倒下了！
MESSAGE_PLAYER_HAS_LEFT,%s has left!,%s se ha ido!,,%s hat das Spiel verlassen!,%s ушел!,%s вийшов!,还剩%s！,%s 已離開！
MESSAGE_PLAYER_HAS_LEFT_NOT_ENOUGH_PLAYERS,%s has left - not enough players!,"%s se ha ido, no hay suficientes jugadores!",,%s hat das Spiel verlassen – nicht genügend Spieler!,%s ушел — недостаточно игроков!,%s вийшов — не вистачає гравців!,还剩%s - 玩家不足！,%s 已離開 - 玩家不足！
MESSAGE_PLAYER_LOSE,You lose!,¡Perdiste!,,Du verlierst!,Ты проиграл!,Ви програли!,您输了！,你輸了！
MESSAGE_PLAYER_WINS_DEATHMATCH,%s WINS THIS DEATH MATCH!,%s GANA ESTE COMBATE A MUERTE!,,%s GEWINNT DIESES DEATHMATCH!,%s ВЫИГРАЛ ЭТУ СМЕРТЕЛЬНУЮ СХВАТКУ!,%s ВИГРАЄ ЦЕЙ СМЕРТЕЛЬНИЙ МАТЧ!,%s 赢得了这场死亡比赛！,%s 贏得了這場死鬥！
